Customers,street,street2,city,state,zip,country code,email,phone,fax,gstn no,salesperson
LLP ABMG EXPERT,"Republic of Kazakhstan, Almaty ",Gogolya Str..,,,86-203,KZ,vivek.moscow@gmail.com,77272792046,,,
AGRIPRO ENTERPRISES,15 Sarah Avenue,"Lowa Falls,IA ",,,50126,US,steve@agri-pro.com,001-800-648-4696,001-641-648-9102,,
,,,,,,,lari@agri-pro.com,001-800-648-4696,001-641-648-9102,,
,,,,,,,jeff@agri-pro.com,001-800-648-4696,001-641-648-9102,,
AKONIT LTD," H. No.10, ST. Petersburg ",Str. Emlyanova,,,196084,RU,mail@npoakonit.ru,+7(812)325-30-65,+7(812)325-30-65,,
AIHEC SAC.,Av. Brazil 2760 of, Lima,,,1502,PE,info@aihec.pe,0051-1-4602406,0051-1-4628076,,
AL JABRY PHARMACY,"Building No: 7052, Al Emar Street","Mobella − Sanaya, Willayat Seeb, Sultanate of Oman.",,,,OM,ajpharma@omantel.net.om; jabryphy@omantel.net.om, 00968 24454312, 00968 24454314,,
AL MAQAM,"Al Haidan Building, Muraqqabat road"," Deira, Dubai, UAE P.O. Box 50100, ",Dubai,,,AE,info@maqammed.ae,+971 4 2628970,+971 4 2628976,,
APEXMED,Keizersgracht 62-64 1015 CS Amsterdam.,,,,,NL,tim.bik@apexmed.nl,+31 20 520 75 60,+31 20 520 75 10,,
ARABIAN MEDICAL DEVICES LLC,"Office No:202,2nd Floor, Trade Centre, Muscat, Sultanate of Oman
PO Box 2909, PC 112-Ruwi, Muscat, Sultanate of Oman",,,,,OM,info@arabianmedicaldevices.com,+968 24815752,+968 24815853,,
Avantal Germany GmbH,"Tom-Dyk-Str. 75 ,  Bremen",,,,28259,GR,info@avantal.de,0421-176 686 01, 0421 176 686 02,,
BARUFFALDI F.lli Snc,Baruffaldi F. lli SNC,"Via Repubblica 17, Premana LC",,,23834,IT,info@baruffaldi-fratelli.com; lisa@baruffaldi-fratelli.com ,,+39 (0) 341 818 779,,
SYARIKAT BUMI SAINS,"16, IST Floor, Taman City","Jalan Kuching, Kuala Lumpur, W.  Malaysia",,,,MY,info@bumisains.com,0060-3-62587812/62510143,0060-3-62577182,,
BIO METRIX sro.,"Vicenzy 16, Samorin 931 01,Slovakia",,,,,IL,info@biometrixmedical.com; ,+421 31 5902850,+421 31 5902859,,
BMS Medical Equipment Co. Ltd.,"Suite 908, Building 24T1, Vinaconex Trunghoa – Nhanchinh Urban Area","Hoang Dao Thuy Street, Cau Giay District ,Hanoi",,,,VN,info@bmsmedical.com.vn,0084-4-2755277,0084-4-2755286,,
CALCAGNI SRL,"Via Magenta, 29 Gallarate Varese",,,,21013,IT,info@calcagnidiffusion.com; jasy@calcagnidiffusion.com;,+39 0331.793615,+39 0331.774505,,
Canicom Import Export Inc.,6458 Rue Beaubien E,"Montréal, Quebec H1M 1A9",,,,CA,,(514) 256-8562,001-514 256-8154,,
Catéteres y Afines S. A.,Carmen Soler no. 3894 e/ Radio Operadores del Chaco,,,,,PY,mailto:import2@caphar.com.py; gerencia@caphar.com.py,+595 21 228 620/1,+595 21 228 620/1,,
CBS,Rua Palmorino Monaco,630- Portao 9-03043- SP,Sao Paulo,,,BR,odair@cbsmed.com.br,+55 11 3347-2700,,,
,,,,,,,eder.souza@cbsmed.com.br,+55 11 3347-2700,,,
Cirúrgica Fernandes Com. de Mat. Cir. e Hosp. - Soc. Ltda. ,"Alameda África, Nº570 –  Polo Empresarial Tambore", Santana De Parnaiba ⇓,Sao Paulo,,06543-306,BR,importacao4@cfernandes.com.br; importacao@cfernandes.com.br,+ 55 11 4152-0500,+ 55 11 4152-0517,,
CHONOGOL TRADE LLC,"Block 94, Khoroo-5, Khoroolol-10, Peace Avenue","Bayangol District, Ulaanbaatar",,,,MN,,00976-11-681060/99891306,,,
Alejandro Beson and Silvia Pereira (Clinimed),Francisco Bicudo ,,,,3818,UY,,,,,
CODISAN,Codisan SPA.  Via Pantano,"24 – C.da Valcorrente, Belpasso (Catania)",,,95032,IT,angelo.monteforte@codisan.com; codisan@codisan.com,0039-095-7867474 / 7054760,0039-095-7867042,,
DROGUERIA COMARSA,"Av. Del Campo1180 (C1427AOO) Buenos Aires, Argentina.",,,,,AR,metzbrea@martorani.com.ar,0054-11-4554-8100,0054-11-4555-0777,,
,,,,,,,commercioexterior@martorani.com.ar,,,,
